epoch,accuracy,loss,val_accuracy,val_loss
45,0.69618416,7.712046450423746e-05,0.69563663,1.5698742340258902
46,0.7003445,7.164717577831053e-05,0.7008226,1.6019139279383574
47,0.70606726,6.615318572576558e-05,0.70672387,1.6271162669258312
48,0.7162892,6.10638628726102e-05,0.7083333,1.6525570821624584
49,0.714755,5.67115673099953e-05,0.70690274,1.6513540307019914
50,0.7140961,5.783789790246296e-05,0.7049356,1.6739685584435264
51,0.7152915,4.5881093053567425e-05,0.71298283,1.7090278582191774
52,0.7071591,0.0011228883926424147,0.6559371,1.4957495242229346
53,0.6888425,0.0045246002899809405,0.6623748,1.4980637647307482
54,0.6823761,0.0005195108027855882,0.69563663,1.5510764340730183
55,0.69727606,0.0005573319079411864,0.694206,1.649673367007096
56,0.6990456,5.890935275034854e-05,0.6972461,1.6422884364496484
57,0.70183164,4.588123008627061e-05,0.6977826,1.6400676667690277
58,0.7023117,4.2602416008981234e-05,0.69957083,1.6393837944120808
59,0.70341295,3.8943227579069775e-05,0.7008226,1.6448730936377858
60,0.7049566,3.573731937299645e-05,0.7020744,1.652026943766508
61,0.7069897,3.30657617031726e-05,0.70296854,1.6593794765134737
62,0.70874983,3.048389156387416e-05,0.7054721,1.6674145191524161
63,0.7113477,2.95496790938988e-05,0.7077969,1.6565045935657403
64,0.71360666,2.7790836123423427e-05,0.70976394,1.6674087007925746
65,0.7153292,2.5288332048106813e-05,0.71101576,1.6783859774534282
66,0.7173246,2.2671811030957068e-05,0.71316165,1.689884139744509
67,0.7195083,2.0127774160983202e-05,0.71423465,1.7007351272095939
68,0.7220308,1.7660585574087866e-05,0.71709585,1.7067849271543036
69,0.72406393,1.5425562336743304e-05,0.7185265,1.7145115056518834
70,0.7266994,1.4339807793164674e-05,0.7222818,1.6938349969141473
71,0.7290337,1.5444429099754247e-05,0.72442776,1.7249094063631967
72,0.73179156,1.0745567779580302e-05,0.7255007,1.7367225250972698
73,0.7332505,9.075132108777899e-06,0.7260372,1.7463993193509753
74,0.7349918,7.575937429487173e-06,0.72693133,1.756253428597307
75,0.73645073,6.250122956321472e-06,0.7280043,1.7684850616004846
76,0.7385591,5.619098550198233e-06,0.7292561,1.755480478761534
77,0.73954743,5.1823399026069995e-06,0.73158085,1.784651077995996
78,0.7420794,3.654205185459612e-06,0.7328326,1.8016381798384016
79,0.7441784,2.7928585860796705e-06,0.73444206,1.8133238757372925
80,0.74633384,2.328320090647645e-06,0.7351574,1.8089023677576253
81,0.7475386,2.0384559394482286e-06,0.7358727,1.8260238994344622
82,0.7483293,1.6087128148281808e-06,0.7367668,1.8403658453742833
83,0.74971294,1.2734119579670175e-06,0.7380186,1.847666835324447
84,0.75178367,1.0055496361144797e-06,0.7399857,1.8648534307152416
85,0.75348735,8.38009237281111e-07,0.74105865,1.866082316816109
86,0.7544851,7.640410371171553e-07,0.7419528,1.8802204789521868
87,0.75527567,5.88058322829828e-07,0.7428469,1.888719348308866
88,0.75737464,4.929556279244532e-07,0.74427754,1.892278977729732
89,0.7583065,4.2999397308062956e-07,0.745887,1.906056031904507
90,0.7595301,3.4813527647184405e-07,0.7471388,1.9173022025132895
91,0.7607349,2.869264810418583e-07,0.74767524,1.9262383899975233
92,0.7620715,2.493260315354665e-07,0.7487482,1.9312260658700067
93,0.76321983,2.1591029223706783e-07,0.74892706,1.9453257441264877
94,0.7647164,1.7867597471939299e-07,0.75143063,1.944739458642804
